-1.75501,1.67981,-1.37783,0.31761,0.66512
0.08123,-1.17241,0.15474,1.81103,-1.02061
0.76743,-1.04826,-0.08268,-1.45661,-1.10957
1.32701,0.22500,0.72445,-1.73983,0.74375
-0.70646,-1.56433,-0.70492,2.09032,0.22162
-0.65173,0.27811,0.85092,-0.05225,1.13506
-1.63129,0.41088,0.16726,-0.91795,-0.04369
-1.01225,1.34714,-0.38127,-1.28543,-0.68261
0.64639,0.18051,0.84989,-1.78004,1.71689
-0.53632,-1.11223,0.27586,-0.48286,0.60360
-0.80302,-0.28294,2.87730,-1.65843,1.02775
0.70047,0.19674,0.64994,-1.09762,2.53631
0.45100,0.70524,0.39430,0.70694,-1.18956
0.21604,-0.91020,-0.88868,-0.86319,-0.20715
1.42215,-0.37986,-0.45737,-0.28793,-1.22141
-1.04024,0.41555,-0.57740,0.47128,-0.74539
0.01976,0.18427,0.55679,1.25888,0.56652
1.73296,0.99955,-0.63613,0.82421,1.53836
0.19173,-1.51241,-0.07958,1.11500,-0.74904
0.49924,-0.41618,0.28703,-0.27971,-1.19180
-0.53792,-0.36980,-0.83432,1.36672,-0.46220
-0.18571,-0.77834,-1.41387,-3.54233,0.60570
0.57523,0.08067,-1.73913,0.20660,-1.48657
-0.02574,0.20707,-0.99408,-0.26078,-0.43782
0.81095,-1.91439,1.23760,-0.06241,1.27966
0.51032,-0.63670,-0.47198,-1.31306,-1.48620
-0.85804,0.96869,-0.14366,0.29111,-0.42135
0.29927,-1.08589,2.50610,-1.39724,0.11919
-1.46121,0.78913,-0.92314,-0.06054,0.46450
-0.81868,-0.40493,-0.25907,0.19685,-0.65290
-0.86870,0.15822,-0.04873,0.04406,-0.50309
-1.39713,0.76040,-0.11844,-1.17043,0.64091
-0.36750,-0.39154,0.60502,1.04767,-0.08223
0.18198,-0.11952,0.41808,1.10421,-1.51736
-0.05875,-0.71419,0.12920,-0.64241,2.52739
0.65243,-0.67090,1.09238,-0.50775,-0.31062
-0.10121,-1.45725,-0.81563,1.46090,-0.40314
0.15202,-0.64499,-2.30106,-0.70707,-0.17753
-0.44760,-0.69491,0.88125,-0.32337,0.15536
-0.61894,1.71684,1.08347,-0.28577,-0.27892
-0.61233,-0.89026,-0.36754,0.59679,-1.24783
1.23112,-1.25089,-1.62894,-2.25593,-0.67805
1.48300,1.17754,0.90088,-0.95493,0.33206
-1.37146,0.60134,-0.03817,-0.20939,-0.03884
1.98651,0.47741,0.54694,-1.74478,-0.83819
-0.24167,0.82066,-0.49298,0.18029,-1.50657
1.68467,0.97771,0.35261,-0.73303,-0.37866
-1.40941,0.77187,-0.30242,0.14715,0.31103
-0.09432,-0.26757,-1.22818,0.08917,-0.36790
-0.22167,-1.61782,-0.70019,1.48995,-0.93022
-1.03866,-0.18880,0.20354,0.15091,-0.00409
-1.25208,1.12955,0.58898,0.61502,-0.36322
-0.40731,-0.07622,0.07446,-0.28988,0.32703
1.47892,1.73074,-0.86275,0.03441,-0.18974
-0.35744,-0.28043,-0.16559,0.61525,-0.55124
0.68104,0.07011,-0.23799,0.17747,-0.29710
0.00995,0.26332,1.33680,1.13153,0.61856
-0.78243,0.51371,0.17228,-0.97293,-2.06162
0.35546,-0.49590,-0.09154,0.70144,-0.64480
-0.42943,-0.74416,-0.11049,0.69205,-1.64664
-1.74002,1.25698,0.70493,-0.22208,-0.28803
-0.88518,0.85413,0.87570,-0.70549,0.62393
0.32499,-0.90904,1.02020,0.42535,2.32178
-1.40860,0.30661,-1.14133,0.81154,1.25990
-1.36209,1.24764,0.64427,-1.18377,0.10001
0.33021,-0.57214,0.52593,-0.47387,-1.23996
-0.63180,0.08298,-0.19455,0.80505,-1.53623
0.36127,-0.67251,-1.91167,-2.78389,0.60488
