-1.98734,1.78337,-1.46515,1.57178,0.93199,1.90611,-1.13942,0.63357
-0.43884,-1.24491,-0.30629,0.62571,-2.41649,-0.70988,1.24318,0.75281
0.47365,-1.07222,-0.29453,-1.62604,-0.78855,1.22075,0.21787,-0.00773
1.12387,-0.36005,0.85816,-0.65031,1.41293,-0.40326,2.23057,0.50342
-0.77228,-1.57842,-1.07728,1.53216,-1.56006,-0.56177,-0.29450,0.76876
-1.13641,0.03865,0.67902,0.31112,0.93099,-3.02173,0.08736,1.12623
-1.32448,0.00897,0.01756,-0.48553,0.49166,1.26048,-0.25191,-1.49542
-1.02987,1.16695,0.31379,-1.29007,-0.27830,1.24459,0.24612,0.54943
0.76690,-0.30627,0.87816,0.86957,1.82780,-1.39066,1.01599,-1.21946
-0.33962,-0.99070,0.00402,-0.53139,0.00278,-1.56714,-1.25024,0.81680
-0.78211,-0.63210,2.80728,-0.39375,1.45508,0.75939,-0.85202,-0.64850
0.19983,-0.69320,0.06459,-0.06898,2.60132,-1.71667,-0.44853,-1.45350
0.58258,0.70362,0.35862,-0.41915,-1.46193,-1.26881,-0.94123,-0.93998
-0.42127,-0.94763,-0.93981,-0.76380,0.07720,0.54556,0.02430,0.94156
0.92987,-0.42797,-0.68279,-0.58002,0.03864,-0.22239,1.36730,-0.57286
-1.06554,0.53082,-0.57447,-0.16764,-0.78072,-1.63563,0.82735,0.23824
-0.24063,0.21704,1.28514,0.68263,-0.73331,-0.03159,1.51498,0.87751
2.12359,1.16874,-0.40103,0.77197,0.31211,-1.50245,-0.36463,1.25805
0.01166,-1.60829,-0.53232,0.75267,-1.78364,-0.41670,0.63411,-0.80366
0.69180,-1.04316,-0.31194,-0.93463,-0.55833,0.69185,0.39765,-1.06528
-0.67636,-0.13815,-1.06317,0.91900,-0.85438,-0.33408,0.81648,0.55823
-0.41951,-0.93287,-1.14252,-2.41986,3.08099,-0.69179,0.50343,1.14274
0.63848,0.09781,-1.81304,-0.93053,-0.67532,0.42697,0.53220,0.76068
-0.13181,0.74344,-0.23316,-0.84828,0.10164,0.26841,0.10719,0.56152
1.11189,-1.70312,1.21178,0.90820,1.71616,-0.47459,-0.71455,-2.55886
0.32974,-0.31331,-0.43103,-1.90164,0.45359,0.83367,1.59231,0.26093
-0.96133,0.75565,0.05469,-0.13806,-0.66053,0.53244,-0.72085,1.29873
